id_publication;id_year
tr/trier/MI01-20;id_2001
tr/trier/MI97-03;id_1997
tr/trier/MI01-19;id_2001
tr/trier/MI98-27;id_1998
tr/trier/MI93-23;id_1993
tr/trier/MI98-19;id_1998
tr/trier/MI98-24;id_1998
tr/trier/MI96-39;id_1996
tr/trier/MI96-42;id_1996
tr/trier/MI96-34;id_1996
tr/trier/MI97-01;id_1997
tr/trier/MI98-32;id_1998
tr/trier/MI99-20;id_1999
tr/trier/MI02-07;id_2002
tr/trier/MI92-16;id_1992
tr/trier/MI92-22;id_1992
tr/trier/MI96-04;id_1996
tr/trier/MI02-05;id_2002
tr/trier/MI96-46;id_1996
tr/trier/MI93-10;id_1993
tr/trier/MI95-24;id_1995
tr/trier/MI97-20;id_1997
tr/trier/MI92-14;id_1992
tr/trier/MI04-05;id_2004
tr/trier/MI98-08;id_1998
tr/trier/MI99-05;id_1999
tr/trier/MI98-09;id_1998
tr/trier/MI97-21;id_1997
tr/trier/MI02-15;id_2002
tr/trier/MI92-09;id_1992
tr/trier/MI97-22;id_1997
tr/trier/MI97-17;id_1997
tr/trier/MI00-02;id_2000
tr/trier/MI92-04;id_1992
tr/trier/MI94-16;id_1994
tr/trier/MI02-13;id_2002
tr/trier/MI99-09;id_1999
tr/trier/MI99-07;id_1999
tr/trier/MI93-05;id_1993
tr/trier/MI95-15;id_1995
tr/trier/MI95-05;id_1995
tr/trier/MI99-19;id_1999
tr/trier/MI97-18;id_1997
tr/trier/MI99-14;id_1999
tr/trier/MI94-01;id_1994
tr/trier/MI92-25;id_1992
tr/trier/MI98-31;id_1998
tr/trier/MI02-22;id_2002
tr/trier/MI01-16;id_2001
tr/trier/MI93-03;id_1993
tr/trier/MI95-19;id_1995
tr/trier/MI94-18;id_1994
tr/trier/MI92-08;id_1992
tr/trier/MI01-08;id_2001
tr/trier/MI96-27;id_1996
tr/trier/MI02-12;id_2002
tr/trier/MI97-10;id_1997
tr/trier/MI96-07;id_1996
tr/trier/MI94-17;id_1994
tr/trier/MI01-01;id_2001
tr/trier/MI95-11;id_1995
tr/trier/MI04-04;id_2004
tr/trier/MI95-12;id_1995
tr/trier/MI99-16;id_1999
tr/trier/MI92-10;id_1992
tr/trier/MI92-21;id_1992
tr/trier/MI00-08;id_2000
tr/trier/MI95-22;id_1995
tr/trier/MI95-03;id_1995
tr/trier/MI92-18;id_1992
tr/trier/MI96-21;id_1996
tr/trier/MI92-13;id_1992
tr/trier/MI98-26;id_1998
tr/trier/MI00-03;id_2000
tr/trier/MI99-10;id_1999
tr/trier/MI02-16;id_2002
tr/trier/MI96-36;id_1996
tr/trier/MI98-30;id_1998
tr/trier/MI01-15;id_2001
tr/trier/MI00-06;id_2000
tr/trier/MI97-14;id_1997
tr/trier/MI99-03;id_1999
tr/trier/MI95-23;id_1995
tr/trier/MI92-19;id_1992
tr/trier/MI99-22;id_1999
tr/trier/MI92-01;id_1992
tr/trier/MI97-28;id_1997
tr/trier/MI96-28;id_1996
tr/trier/MI94-07;id_1994
tr/trier/MI96-10;id_1996
tr/trier/MI00-09;id_2000
tr/trier/MI96-40;id_1996
tr/trier/MI95-08;id_1995
tr/trier/MI96-43;id_1996
tr/trier/MI99-30;id_1999
tr/trier/MI93-09;id_1993
tr/trier/MI06-04;id_2006
tr/trier/MI96-18;id_1996
tr/trier/MI98-02;id_1998
tr/trier/MI00-10;id_2000
tr/trier/MI95-16;id_1995
tr/trier/MI01-02;id_2001
tr/trier/MI93-06;id_1993
tr/trier/MI96-45;id_1996
tr/trier/MI92-11;id_1992
tr/trier/MI95-17;id_1995
tr/trier/MI04-07;id_2004
tr/trier/MI98-03;id_1998
tr/trier/MI93-04;id_1993
tr/trier/MI93-15;id_1993
tr/trier/MI93-07;id_1993
tr/trier/MI01-11;id_2001
tr/trier/MI00-04;id_2000
tr/trier/MI02-02;id_2002
tr/trier/MI97-11;id_1997
tr/trier/MI99-15;id_1999
tr/trier/MI97-16;id_1997
tr/trier/MI99-17;id_1999
tr/trier/MI96-11;id_1996
tr/trier/MI94-12;id_1994
tr/trier/MI02-04;id_2002
tr/trier/MI92-07;id_1992
tr/trier/MI99-18;id_1999
tr/trier/MI01-14;id_2001
tr/trier/MI97-07;id_1997
tr/trier/MI95-02;id_1995
tr/trier/MI95-09;id_1995
tr/trier/MI02-10;id_2002
tr/trier/MI94-04;id_1994
tr/trier/MI92-12;id_1992
tr/trier/MI92-05;id_1992
tr/trier/MI03-05;id_2003
tr/trier/MI94-15;id_1994
tr/trier/MI93-12;id_1993
tr/trier/MI97-15;id_1997
tr/trier/MI93-02;id_1993
tr/trier/MI00-11;id_2000
tr/trier/MI94-08;id_1994
tr/trier/MI99-25;id_1999
tr/trier/MI95-10;id_1995
tr/trier/MI01-18;id_2001
tr/trier/MI96-14;id_1996
tr/trier/MI96-02;id_1996
tr/trier/MI94-02;id_1994
tr/trier/MI98-25;id_1998
tr/trier/MI06-02;id_2006
tr/trier/MI02-17;id_2002
tr/trier/MI93-19;id_1993
tr/trier/MI98-01;id_1998
tr/trier/MI02-09;id_2002
tr/trier/MI98-11;id_1998
tr/trier/MI96-06;id_1996
tr/trier/MI94-13;id_1994
tr/trier/MI97-12;id_1997
tr/trier/MI93-24;id_1993
tr/trier/MI96-25;id_1996
tr/trier/MI99-08;id_1999
tr/trier/MI96-13;id_1996
tr/trier/MI97-25;id_1997
tr/trier/MI00-13;id_2000
tr/trier/MI96-09;id_1996
tr/trier/MI99-29;id_1999
tr/trier/MI01-17;id_2001
tr/trier/MI94-06;id_1994
tr/trier/MI98-20;id_1998
tr/trier/MI02-03;id_2002
tr/trier/MI96-05;id_1996
tr/trier/MI98-28;id_1998
tr/trier/MI96-08;id_1996
tr/trier/MI04-03;id_2004
tr/trier/MI95-07;id_1995
tr/trier/MI95-01;id_1995
tr/trier/MI99-01;id_1999
tr/trier/MI02-06;id_2002
tr/trier/MI03-06;id_2003
tr/trier/MI01-10;id_2001
tr/trier/MI98-15;id_1998
tr/trier/MI98-22;id_1998
tr/trier/MI03-02;id_2003
tr/trier/MI97-26;id_1997
tr/trier/MI93-13;id_1993
tr/trier/MI02-11;id_2002
tr/trier/MI99-21;id_1999
tr/trier/MI00-12;id_2000
tr/trier/MI99-04;id_1999
tr/trier/MI02-14;id_2002
tr/trier/MI96-23;id_1996
tr/trier/MI93-22;id_1993
tr/trier/MI99-24;id_1999
tr/trier/MI95-21;id_1995
tr/trier/MI04-06;id_2004
tr/trier/MI93-08;id_1993
tr/trier/MI99-28;id_1999
tr/trier/MI99-23;id_1999
tr/trier/MI02-01;id_2002
tr/trier/MI92-02;id_1992
tr/trier/MI96-20;id_1996
tr/trier/MI98-13;id_1998
tr/trier/MI01-07;id_2001
tr/trier/MI93-20;id_1993
tr/trier/MI97-02;id_1997
tr/trier/MI92-03;id_1992
tr/trier/MI92-28;id_1992
tr/trier/MI93-17;id_1993
tr/trier/MI02-18;id_2002
tr/trier/MI02-08;id_2002
tr/trier/MI92-23;id_1992
tr/trier/MI98-18;id_1998
tr/trier/MI92-15;id_1992
tr/unicamp/IC-12-08;id_2012
tr/dec/SRC1997-018;id_1997
www/org/mitre/future;id_1998
www/org/w3/style-xsl;id_2001
www/org/w3/http1-1;id_1999
www/org/w3/dom;id_1997
www/org/w3/TR/query-datamodel;id_2001
www/org/w3/TR/REC-xml;id_1998
www/org/w3/TR/xquery;id_2001
www/org/w3/TR/xmlquery-use-cases;id_2001
www/org/w3/TR/NOTE-xml-ql;id_1998
www/org/w3/TR/xmlquery-req;id_2001
www/org/w3/TR/query-algebra;id_2001
www/org/w3/ql98;id_1998
www/org/aiim-wfmc;id_1995
www/org/oasis-open-cover-xml;id_2006
www/de/kts;id_2012
persons/Codd71b;id_1971
persons/Codd74;id_1974
persons/Ley2003;id_2003
persons/Codd72;id_1972
persons/Ley95;id_1995
persons/CoddD74;id_1974
persons/Codd71;id_1971
persons/LeyCHM11;id_2011
persons/Lions1996;id_1996
persons/Hall74;id_1974
persons/Codd71a;id_1971
persons/Codd69;id_1969
persons/Ley93;id_1993
persons/Tresch96;id_1996
persons/Codd81;id_1981
persons/CasperGGGHLR12;id_2012
reference/crypt/Bhanu11;id_2011
reference/crypt/X11w;id_2011
reference/crypt/Soete11o;id_2011
reference/crypt/Cheng11;id_2011
reference/crypt/YuLR11;id_2011
reference/crypt/Soete11e;id_2011
reference/crypt/X11hh;id_2011
reference/crypt/X11jr;id_2011
reference/crypt/X11id;id_2011
reference/crypt/Adams05o;id_2005
reference/crypt/Biryukov05k;id_2005
reference/crypt/Bleumer11n;id_2011
reference/crypt/Ellison11;id_2011
reference/crypt/X11gh;id_2011
reference/crypt/Naccache11i;id_2011
reference/crypt/Boneh05b;id_2005
reference/crypt/Kaliski11k;id_2011
reference/crypt/Kaliski05xe;id_2005
reference/crypt/Bauer05a;id_2005
reference/crypt/Landrock05h;id_2005
reference/crypt/Knudsen11a;id_2011
reference/crypt/X11fc;id_2011
reference/crypt/Li11;id_2011
reference/crypt/Kaliski05i;id_2005
reference/crypt/Smith11c;id_2011
reference/crypt/WongchaowartL11;id_2011
reference/crypt/Desmedt05i;id_2005
reference/crypt/Schoenmakers05d;id_2005
reference/crypt/Canteaut11m;id_2011
reference/crypt/Bleumer11ae;id_2011
reference/crypt/Kaliski11s;id_2011
reference/crypt/X11bv;id_2011
reference/crypt/X11bq;id_2011
reference/crypt/Sendrier11b;id_2011
reference/crypt/ShamirT11;id_2011
reference/crypt/X11ih;id_2011
reference/crypt/Canniere05a;id_2005
reference/crypt/Meadows11d;id_2011
reference/crypt/X11ln;id_2011
reference/crypt/Soete11q;id_2011
reference/crypt/Samarati11;id_2011
reference/crypt/Plate11;id_2011
reference/crypt/Heinrich05;id_2005
reference/crypt/Adams05l;id_2005
