author;nbr_publication
Paul C. Leyland;4
Laurent Bussard;5
David Brumley;28
Yanli Guo;6
Joachim Biskup;47
Mayank Varia;28
William E. Winkler;9
Russ Housley;24
Gildas Avoine;18
Mark Stephens;3
David Elliott Bell;7
Fernando L. Podio;3
Ashwin Machanavajjhala;29
Sachiko Yoshihama;3
Xiaowei Yang 0001;23
Bülent Yener;77
Marion Videau;18
Vladimir Brik;4
John Black;10
Jelena Mirkovic;31
Bruce Schneier;107
Arun Iyengar;41
Hakki C. Cankaya;10
Steven M. Bellovin;94
Piero A. Bonatti;48
Homayoon S. M. Beigi;11
George C. Necula;38
Charu C. Aggarwal;135
Basit Shafiq;5
Davide Martinenghi;43
Randy Sabett;2
Pierrick Gaudry;16
Radmilo Racic;2
George Kesidis;115
Hugo Krawczyk;62
Reynald Lercier;16
Shambhu J. Upadhyaya;118
Jill Joseph;2
Helmut Veith;103
Amit Klein;2
Wesley M. Eddy;8
Padmaraj M. V. Nair;2
Lukasz Opyrchal;4
Micah Sherr;28
Kristen LeFevre;12
Carlo Blundo;4
Zongyi Liu;6
Sachar Paulus;16
Danny De Cock;5
Michael Huth;68
Alban Gabillon;35
Yu Chen;113
Akira Otsuka;17
Heiko Mantel;26
Gautam Singaraju;2
J. Jagan;2
William B. Langdon;76
Penousal Machado;90
Sanjeev S. Tambe;3
A. Nur Zincir-Heywood;121
Grzegorz Pawinski;2
Kironmala Chanda;2
Mohamed A. Shahin;2
Kunal Roy;8
Filipe Assunção;2
Sebastián Ventura;160
Omid Bozorg Haddad;2
Saeed K. Babanajad;2
H. Md. Azamathulla;6
Ali Farhadi;77
Akbar A. Javadi;5
David Medernach;3
Michael F. Korns;10
Bithin Datta;3
Dominic P. Searson;3
Mário Alberto Zenha-Rela;6
Alireza Nemati;2
Sarat Kumar Das;4
Andrew Sixsmith;15
Ilias Maglogiannis;113
Michael Huch;2
Elena Urdaneta;4
Beate Seewald;2
Michele Pla-Mobarak;2
Brian D. Jones;3
Jean Roberts;9
Ryan Woolrych;2
Reiner Wichert;15
Peter Wolf;19
Elizabeth Mestheneos;3
Juan Carlos Augusto;113
Carmen Pastor;2
Tony Gentry;2
Julie Maitland;9
George MacGinnis;2
Shimon K. Modi;3
Jesse Hoey;50
Ken Sakamura;130
Jui-Chen Huang;11
R. Ignacio Madrid;4
Dimitrios Hatzinakos;165
Joseph P. Wherton;2
Katrin Müller;3
Dimitrios Tzovaras;239
Paul J. M. Havinga;182
Maurice D. Mulvenna;36
Diana Hodgins;3
Garry Courtney;2
Davide Maltoni;67
Sven Meister;3
Lawrence B. Holder;94
Jan Havlík;6
Gabriel Gaminde;2
Avinash Rao Parnandi;2
Paul J. McCullagh;21
Jarl Reitan;2
Annette Spellerberg;3
Günter Schreier;51
Linda Boise;2
Lutz Kubitschke;2
Fahim Kawsar;67
Jenna L. Marquard;3
Matthias Rauterberg;157
Andreas Hein;75
Anind K. Dey;135
Jenn-Hwan Tarng;12
James L. Fozard;2
Yuval Elovici;247
Aisling Kelliher;30
Krzysztof Rzadca;32
Maria M. Larrondo-Petrie;14
Thomas Magedanz;151
Hideyuki Koto;2
Janet Mann;11
Julien Lord;2
Chun Hung Li;9
Dorée Duncan Seligmann;6
Mingxin Zhang;11
Sung-Hyuk Park;5
P. Santhi Thilagam;38
Ronald R. Yager;490
Cheng-Zen Yang;21
Cecilia Sik-Lányi;28
Thorsten Strufe;130
Thomas Franz;6
Yue Xu;15
Aditya Bagchi;13
Jean-Daniel Fekete;86
Václav Snásel;310
Vineet Chaoji;6
Kerry-Ann White;2
Naphtali Rishe;99
Tsuyoshi Murata;59
Jiming Liu 0001;159
Bingyu Qiu;5
Dil Muhammad Akbar Hussain;10
Francisco Serradilla;5
Gerhard Austaller;3
Fernando Lyardet;18
Dirk Schnelle;6
Rainer Malaka;129
Erwin Aitenbichler;9
Sebastian Ries;8
Andreas Heinemann;20
Andreas Hartl;1
Marc Hermann;3
Matthias Winkler;6
Jochen H. Schiller;91
Michael Altenhofen;5
Wolfgang Gerteis;6
Zoltán Nochta;4
Anja Klein 0001;5
Rama Gurram;3
Jens Müller 0002;4
Matthias Jöst;5
Jussi Kangasharju;76
Konrad S. Wrona;15
Tobias Limberger;3
Martin Waldburger;7
Iryna Gurevych;300
Samir Raiyani;2
Alistair P. Barros;11
Saburo Muroga;65
Akio Nakagawa;2
Suhrid A. Wadekar;5
Kwok Ng;2
Elizabeth M. Rudnick;17
John D. Cressler;25
Louis A. Williams III;2
Bang-Sup Song;16
Geert A. De Veirman;2
Bram De Muer;2
Andrea Baschirotto;118
Philip G. Neudeck;3
Dimitri Kagaris;21
Peter J. Hesketh;4
C. Patrick Yue;48
Spyros Tragoudas;176
Erik A. McShane;2
Zainalabedin Navabi;156
Hiroshi Iwai;35
John Lockwood;2
John Choma Jr.;11
Eby G. Friedman;215
Robert H. Klenke;15
Stantanu Ganguly;2
Ramachandra Achar;16
Kung Yao;109
Stephen I. Long;9
J. Gregory Rollins;3
Chung-Yu Wu;52
Jen-Sheng Hwang;3
Wayne H. Wolf;200
David L. Barton;2
Donald B. Estreich;2
Wen-mei W. Hwu;155
Donald T. Comer;9
Charles Ching-Hsiang Hsu;3
Nick Kanopoulos;19
Martin Margala;96
J. Bhasker;2
Massoud Pedram;568
Sorin Cristoloveanu;20
Heechul Kim;2
Krishna Shenai;7
Kuo-Hsing Cheng;23
Donald Cottrell;2
Ashraf Lotfi;2
Yuh-Kuang Tseng;4
Chi-Hung Lin;4
Chorng-Kuang Wang;27
Tanay Karnik;12
Mikael Östling;11
Alison Payne;2
Donald C. Thelen;2
John M. Khoury;2
Rajesh K. Gupta 0001;143
Joseph W. Lyding;2
Edgar Gómez Cruz;3
Hsin-Liang Chen;22
Peyton Mason;3
Zane Berge;4
Vincent Cicchirillo;2
Joey F. George;57
Patricia G. Lange;6
Lesley S. J. Farmer;5
Jutta Weber;4
Ulrike Cress;48
Michael Stefanone;5
Steven E. Stern;6
Stacey L. Connaughton;4
Janice Krueger;2
Sarah Rofofsky Marcus;2
Jo Mackiewicz;3
Stephanie Bauer;3
James Walkerdine;5
Fay Sudweeks;11
Kalev Leetaru;8
R. K. Koslowsky;2
Apryl Price;2
Rosanna Tarsiero;2
Katrin Allmendinger;5
David Robins;8
Gerald S. Greenberg;3
Zeynep Cemalcilar;3
Sandra M. Harrison;3
Kent Marett;12
Michaël Opgenhaffen;4
Barrie Jo Price;2
Rotimi Taiwo;2
Rosalie J. Ocker;15
Jung-ran Park;9
Anna C. McFadden;2
Jamie Switzer;2
Leslie D. Setlock;6
Angélica Rísquez;2
Eric T. Meyer;9
Suely Fragoso;9
Karen Brodsky;2
Amy E. Hoseth;2
Uma Devi Doraiswamy;2
Anne-Kathrine Kjær Christensen;2
Robert Jordan;3
Kit Hang Leung;2
J. Patrick Biddix;2
Bolanle Olaniran;2
Anita L. Blanchard;7
Stephen Thorpe;3
Vincent B. Y. Ooi;3
Moe Folk;2
Elahe Sohbat;2
Sushil Kumar Sharma;2
Mirjam Weder;2
Rosanna E. Guadagno;10
Kevin Eric DePew;2
Sarah Stewart;3
Jenna Ryan;2
Julie D. Woletz;3
Alison Ruth;3
Astrid Schütz;2
Deborah Vess;2
Anja Bechmann Petersen;4
Anna Perrault;3
Dianna Laurent;2
Karen Garcia;2
Jonathan Cohn;3
Dimitris Kiritsis;51
Rashid Bashir;10
Sudip Misra;71
Heping Chen;21
Moshe Shoham;28
Hemant Joshi;6
William Richmond;3
T. Joseph Lui;2
Kinnya Tamaki;2
Wootae Jeong;3
Peter C. Patton;8
Damien Poyard;2
Christian Dannegger;4
Susumu Fujii;12
Deming Chen;130
Ángel Rodriguez Castaño;2
William J. Horrey;6
Panos J. Antsaklis;163
Yukio Hasegawa;3
José A. Ceroni;3
Marwan A. Simaan;87
Nicoletta Adamo-Villani;9
Raúl Suárez;49
Christopher Bissell;3
Bobbie D. Seppelt;2
Ruth Bars;7
Anatoly Pashkevich;4
Hoo Sang Ko;3
Shinsuke Sakakibara;3
Harald Staab;3
Timothy I. Salsbury;5
Cecilia R. Aragon;37
Alberto Isidori;35
Ramesh Sharda;45
Kenwood H. Hall;11
Bijay K. Jayaswal;2
Shimon Y. Nof;67
Tibor Vámos;17
S. K. Kwok;12
Johannes A. Soons;2
Pat P. Banerjee;6
Sharath Sasidharan;12
Christopher Ganz;6
Sebastian V. Massimini;2
Yuko J. Nakanishi;2
Manuel Scavarda Basaldúa;2
Greg Baiden;4
Peter Kopacek;26
