author;id_publication
Peter H. Schmitt;tr/ibm/IWBS113
Jörg H. Siekmann;tr/ibm/IWBS113
Petra Ludewig;tr/ibm/IWBS152
Sven Lorenz;tr/ibm/IWBS179
Stefan Böttcher;tr/ibm/IWBS71
Christoph Beierle;tr/ibm/IWBS71
Herbert J. Leass;tr/ibm/IWBS187
Ingrid Renz;tr/ibm/IWBS74
Thomas Ludwig 0001;tr/ibm/IWBS103
Rudi Studer;tr/ibm/LILOG2
Jan Wilms;tr/ibm/LILOGM1
Christoph Beierle;tr/ibm/LILOG42
Walter G. Olthoff;tr/ibm/LILOG42
Angi Voß;tr/ibm/LILOG42
Christoph Beierle;tr/ibm/LILOG39
Udo Pletat;tr/ibm/LILOG39
Reiner Hähnle;tr/ibm/IWBS227
Bernhard Beckert;tr/ibm/IWBS227
Stefan Gerberding;tr/ibm/IWBS227
Werner Kernig;tr/ibm/IWBS227
Thomas Pirlein;tr/ibm/IWBS129
Gert Smolka;tr/ibm/LILOG33
Christoph Beierle;tr/ibm/IWBS175
Stefan Böttcher;tr/ibm/IWBS175
Gregor Meyer;tr/ibm/IWBS175
Thomas Ludwig 0001;tr/ibm/LILOG58
Erich Gehlen;tr/ibm/IWBS98
Andreas Arning;tr/ibm/IWBS183
Thomas Ludwig 0001;tr/ibm/IWBS104
Simone Pribbenow;tr/ibm/IWBS122
Christoph Beierle;tr/ibm/IWBS86
Ulrich Hedtstück;tr/ibm/IWBS86
Udo Pletat;tr/ibm/IWBS86
Jörg H. Siekmann;tr/ibm/IWBS86
Raymond A. Lorie;tr/ibm/G320-2096
Bernhard Nebel;tr/ibm/IWBS81
Gert Smolka;tr/ibm/IWBS81
Petra Schulz;tr/ibm/IWBS164
Sebastian Millies;tr/ibm/IWBS139
Kurt Eberle;tr/ibm/IWBS67
Ewald Lang;tr/ibm/IWBS109
Kai-Uwe Carstensen;tr/ibm/IWBS109
Christoph Beierle;tr/ibm/IWBS181
Gregor Meyer;tr/ibm/IWBS181
Heiner Semle;tr/ibm/IWBS181
Claus-Rainer Rollinger;tr/ibm/LILOG25
Rudi Studer;tr/ibm/LILOG25
Hans Uszkoreit;tr/ibm/LILOG25
Ipke Wachsmuth;tr/ibm/LILOG25
Anne Schiller;tr/ibm/IWBS235
Christopher Habel;tr/ibm/LILOG17
Brigitte Bläser;tr/ibm/IWBS145
M. Wermke;tr/ibm/IWBS145
Thomas Ludwig 0001;tr/ibm/LILOG57
Karl-Hans Bläsius;tr/ibm/LILOG51
Ulrich Hedtstück;tr/ibm/LILOG51
Elke Busch;tr/ibm/IWBS123
Jürgen Pietsch;tr/ibm/IWBS125
R. Zieschank;tr/ibm/IWBS125
D. Marx;tr/ibm/IWBS125
P. Klug-Lier;tr/ibm/IWBS125
Bernd Page;tr/ibm/IWBS125
Ulrike Weiland;tr/ibm/IWBS125
D. Eberle;tr/ibm/IWBS125
Volker Jantzen;tr/ibm/IWBS218
Ulrich Hedtstück;tr/ibm/IWBS95
Peter H. Schmitt;tr/ibm/IWBS95
Gregor Meyer;tr/ibm/IWBS219
Christoph Beierle;tr/ibm/IWBS219
Ralph Scheubrein;tr/ibm/IWBS219
Ralph Scheubrein;tr/ibm/IWBS176
Jochen Dörre;tr/ibm/IWBS97
William C. Rounds;tr/ibm/IWBS97
Bernhard Nebel;tr/ibm/IWBS69
Kurt Rothermel;tr/ibm/LILOG44
Roland Seiffert;tr/ibm/IWBS209
Esther König;tr/ibm/IWBS209
Herbert J. Leass;tr/ibm/IWBS172
Ulrike Schwall;tr/ibm/IWBS172
Bart Geurts;tr/ibm/IWBS137
Josef Gemander;tr/ibm/LILOGM12
Thomas Ludwig 0001;tr/ibm/IWBS149
Stefan Böttcher;tr/ibm/IWBS141
Wilfried Hötker;tr/ibm/IWBS196
Petra Ludewig;tr/ibm/IWBS196
Karel Oliva;tr/ibm/IWBS206
Uwe Reyle;tr/ibm/LILOG9
Reiner Hähnle;tr/ibm/IWBS136
Jutta Kreiß;tr/ibm/IWBS148
Udo Pletat;tr/ibm/LILOG36
Wolfgang Wernecke;tr/ibm/IWBS226
Gregor Erbach;tr/ibm/IWBS131
Simone Pribbenow;tr/ibm/LILOG47
Michael Tarnowski;tr/ibm/IWBS174
Stefan Böttcher;tr/ibm/IWBS128
Mechthild Rickheit;tr/ibm/IWBS127
Jürgen Manowsky;tr/ibm/IWBS230
Karl Schlechta;tr/ibm/IWBS204
Ewald Lang;tr/ibm/IWBS147
Kai-Uwe Carstensen;tr/ibm/IWBS147
Geoffrey Simmons;tr/ibm/IWBS147
Udo Pletat;tr/ibm/IWBS173
Thomas Ludwig 0001;tr/ibm/IWBS105
Arne Pott;tr/ibm/IWBS105
Tibor Kiss;tr/ibm/IWBS161
Rob A. van der Sandt;tr/ibm/IWBS185
Bart Geurts;tr/ibm/IWBS185
Stefan Böttcher;tr/ibm/IWBS118
Jim Gray 0001;tr/ibm/RJ1579
Vera Watson;tr/ibm/RJ1579
Adrian Müller;tr/ibm/IWBS186
Christoph Beierle;tr/ibm/IWBS94
Udo Pletat;tr/ibm/IWBS94
Eric Mays;tr/ibm/IWBS133
Sitaram Lanka;tr/ibm/IWBS133
Robert Dionne;tr/ibm/IWBS133
Robert A. Weida;tr/ibm/IWBS133
